questions,example
"Двигатель (двз, мотор, движок)","1: Тип топлива:
Бензиновый или дизельный?
2: Для бензинового двигателя:
Какое количество клапанов: 16 или 8?
3: Для дизельного двигателя:
Двигатель турбированный или атмосферный?
4: Комплектация:
Если нужен ""голый"" двигатель, предлагаем соответствующую цену.
Если в сборе с навесным, уточнить, все ли компоненты из подкапотного пространства требуются, или что-то можно исключить."
АКПП (автоматическая коробка передач),"1: Комплектация:
Коробка с блоком управления (мозгами) или без?
2: Уточнить год выпуска машины."
МКПП,"1: Уточнить год выпуска машины.
2: Тип топлива:
Бензин или дизель?
3: Привод:
Полный или задний?"
Кулак,"1: Диаметр заднего сальника:
100 мм, 85 мм, или 82: мм?
2: Если сторона не указана:
Кулак нужен правый или левый?
3: Если не известно, какой сальник:
- Нужно сфотографировать место соединения кулака и привода на машине. Для этого встаньте на колено около переднего бампера и снимите фото со вспышкой.
- Если место в грязи, его следует почистить карщеткой или другим подручным инструментом."
Привод передний,"1: Уточнить год выпуска машины.
2: Диаметр заднего сальника на кулаке:
100 мм, 85 мм, или 82: мм?
3: Объяснение важности выбора:
Сальник на кулаке и посадочное на приводе должны строго соответствовать друг другу, иначе возможно попадание воды и грязи в кулак, что приведет к быстрому выходу его из строя.
4: Если не знаете, какой сальник:
Нужно сделать фото соединения кулака и привода на машине."
Суппорт,"1: Уточнить, рестайл или дорестайл? (Год выпуска машины).
2: Особенности суппорта:
- Если 1999 года - определить тип: чугунный гладкий или алюминиевый с ребром.
- Если дорестайл (до 1999 года) - чаще всего гладкий чугунный.
- Если рестайл (после 1999 года) - алюминиевый с ребром."
Редуктор задний (задний мост),"1: Уточнить, рестайл или дорестайл? (Год выпуска машины).
2: Проверка указанных характеристик:
- Если дорестайл, проверить количество шлицов на полуосях и форму крепления тормозного щитка (трапеция или квадрат).
- Если рестайл, аналогичные действия.
3: Мост в сборе или отдельно редуктор?
- Если в сборе, уточните базу (длинная или короткая).
4: Знаете передаточное число?
- Если нет, тип топлива: бензин или дизель?
- Если дизель, вероятнее всего 40 на 9; желательно пересчитать или прислать инструкцию.
- Если бензин, то спросить МКПП или АКПП
- Если АКПП, то скорее всего у вас 43на9, но лучше посчитать, вот тут https://vk.com/sportage_1?w=wall-166459367_2339 я писал, как это сделать не снимая редуктор
- Если МКПП, то скорее всего 37на8, но бывает, что их меняют на более тяговитый 43на9, поэтому лучше посчитать, вот тут https://vk.com/sportage_1?w=wall-166459367_2339 я писал, как это сделать не снимая редуктор"
Редуктор передний (передний мост),"1: Полная сборка или только редуктор?
2: Знаете передаточное число?
3: Тип топлива: бензин или дизель?
4: Если бензин - автоматическая или механическая коробка передач?"
Редуктор рулевой (Рулевая колонка),"1: Уточнить год выпуска автомобиля.
2: Если дорестайл (1993-1998), проверить длину штока.
3: Если рестайл (1999-2006), уточнить сборку: Европа, США или Калининград.
- Для автомобиля калининградской сборки: шток может быть разной длины. Проверка визуально или по фотографии."
Крылья передние,"1: С расширителями или без?
2: Нужны ли отверстия под повторители?"
Зеркало,"1: С обогревом или без?
2: Уточнить цвет и тип фишки (белая или пластиковая)."
Фары,"1: Год выпуска машины.
2: Материал фары (стекло или пластик).
3: Корректор механический или электрический"
Задние фонари,"1: Цвет фонарей:
Фонари у вас красно-белые или красно-жёлтые?
2: Если не знают:
Какой год у вашего Спортажа?
3: Если до 99:
Скорее всего, у вас красно-жёлтые, но лучше проверить визуально.
4: Если после 99:
Скорее всего, у вас красно-белые, но лучше убедиться, так как они могли быть заменены."
Головка блока цилиндров (ГБЦ),"1: Тип двигателя:
У вас бензин или дизель?
2: Комплектация:
ГБЦ ""голая"" или в сборе с клапанами и т.д.?"
Форсунки,"1: Комплект или по отдельности:
Вам форсунки комплектом или поштучно?
2: Количество клапанов:
У вас 16 клапанов или 8?
3: Если 16 клапанов:
- Какой год у вашего Спортажа?
- Если до 99, потребуется физическая проверка или фотография для определения цвета.
- Если после 99, набор обычно содержит 2: зеленых и 2: оранжевых форсунки.
4: Если 8 клапанов:
- Форсунки с обраткой или без?
- Предпочтительно предоставить фото для ускорения процесса."
Выпускной коллектор,"Длина коллектора:
Коллектор длинный или короткий?"
Дроссель,"1: Год выпуска машины:
Какой год у вашего автомобиля?
3: Тип коробки передач:
АКПП или МКПП?
4: Наличие круиз-контроля:
Есть ли у вас круиз-контроль?"
Клапанная крышка,"1: Тип двигателя:
У вас бензин или дизель?
2: Количество клапанов:
У вас 16 клапанов или 8?"
ДМРВ (датчик массового расхода воздуха),"Тип датчика:
Вам нужен оригинал или аналог?"
ГТЦ (главный тормозной цилиндр),"1: Материал:
У вас цилиндр чугунный или алюминиевый?
2: Коробка передач:
АКПП или МКПП?
3: Год выпуска Спортажа:
Какой год у вашего Спортажа?"
Радиатор основной,"1: Тип топлива:
У вас бензин или дизель?
2: Коробка передач:
АКПП или МКПП?"
Радиатор кондиционера,"Вид осушителя:
Пожалуйста, пришлите фото осушителя, чтобы определить модель."
Компрессор кондиционера,"Внешний вид:
Пожалуйста, пришлите его фото, открыв капот для ясности."
Осушитель кондиционера,"Определение модели:
Пришлите фото для точного подбора."
Трубки кондиционера,"Определение модели:
Пришлите фото для точного подбора."
Решетка радиатора,"Определение модели:
Пришлите фото для подбора вашей решётки."
Бампер,"1: Год выпуска Спортажа:
Какой у вас год выпуска?
2: Если до 99:
Бампер, вероятно, гладкий без клыков.
3: Если после 99:
Бампер, вероятно, рестайлинговый с клыками."
Усилитель бампера,"1: Год выпуска Спортажа:
Какой у вас год выпуска?
2: Если до 99:
Вероятно, гладкий без клыков.
3: Если после 99:
Вероятно, с клыками, как на рестайлинговой модели."
Трапеция дворников,"Комплектация:
Вам нужна с моторчиком или без?"
Моторчик дворников,"1: Сторона:
Вам нужен передний или задний моторчик?
2: Год Спортажа (если передний):
Какой год у вашего автомобиля?"
Жабо,"Предупреждение:
Данная запчасть хрупкая, её отправка требует аккуратной упаковки, что может отразиться на её стоимости."
Капот,"1: Тип топлива:
Бензин или дизель?
2: Обсуждение состояния:
Для бензиновых двигателей капоты в разном состоянии. Отправка возможна в упаковке, скинуть фото для обсуждения цены?"
Блок цилиндров (низ мотора),"1: Комплектация:
Голый или в сборе со всеми компонентами?
2: Тип топлива:
Бензин или дизель?
3: Если бензин:
16 клапанов или 8?
4: Если дизель:
Турбированный или атмосферный?"
Коленвал,"1: Тип топлива:
Бензин или дизель?
2: Если бензин:
16 клапанов или 8?
3: Если дизель:
Турбированный или атмосферный?"
Поршни,"1: Тип топлива:
Бензин или дизель?
2: Если бензин:
16 клапанов или 8?
3: Если дизель:
Турбированный или атмосферный?
4: Размер поршней:
Нужны номинальные или точёные? Если точёные, то под какой размер?"
Шатун,"1: Тип топлива:
Бензин или дизель?
2: Если бензин:
16 клапанов или 8?
3: Если дизель:
Турбированный или атмосферный?
4: Поршни:
Нужны номинальные или точёные? Если точёные, то под какой размер?"
Шкив коленвала,"1; Тип топлива

2. Необходимость фотографии:
Пожалуйста, пришлите фото вашего шкива сверху, чтоб видно было под какие ремни "
Шестерня коленвала,"1: Тип топлива:
Бензин или дизель?
2: Если бензин:
16 клапанов или 8?
3: Если дизель:
Турбированный или атмосферный?"
Генератор,"Материал крышки:
Крышка задняя алюминиевая или пластиковая?"
Стартер,"1: Тип топлива:
Бензин или дизель?
2: Тип коробки передач:
АКПП или МКПП?"
Маховик,"1: Тип топлива:
Бензин или дизель?
2: Тип коробки передач:
АКПП или МКПП?"
Лямбда,"1: Положение:
Лямбда верхняя или нижняя?
2: Контакты:
Фишка на 3: или на 4: контакта?"
Круиз-контроль,"Комплектация:
Нужен полный комплект или какая-то часть?"
Вискамуфта,"1: Тип топлива:
Бензин или дизель?
2: Комплектация:
С крыльчаткой или без?"
Защита картера,"Тип защиты:
Нужна защита под радиатором, под двигателем или обе сразу?"
Поддон картера,"Тип топлива:
Бензин или дизель?"
Скоба суппорта,"1: Год выпуска:
Какой год у вашего Спортажа?
2: Если до 99:
Суппорт, вероятно, гладкий, чугунный?
3: Если после 99:
Суппорт, вероятно, алюминиевый с рёбрами?"
"ЭБУ (мозги, блок управления двигателем)","Фото наклейки:
Пожалуйста, пришлите фото наклейки на вашем ЭБУ."
Коса проводка,"1: Год выпуска:
Какой год у вашего Спортажа?
2: Тип коробки передач:
АКПП или МКПП?
3: Дополнительно:
Пришлите фото вашего ЭБУ, подбираем косу только по фото наклейки на ЭБУ"
"ДХХ (датчик холостого хода, клапан ХХ)","1: Год выпуска и тип двигателя:
Какой год и количество клапанов?
2: Если до 99:
Вероятно, у вас большой алюминиевый бачонок? Верно?
3: Если после 99: 
Да такой есть по цене - ""цена руб."", могу прислать фото на ватсап"
Бак,"1: Тип топлива:
Бензин или дизель?
2: Длина базы:
У вас длинная или короткая база?
3: Рядом с заливной горловиной у вас есть три соска обратки, или просто горловина "
Декоративная крышка двигателя,"1: Год выпуска:
Какой год выпуска вашего Спортажа?
2: Наличие крепежа:
Крышка нужна с крепежами или без них?"
Хабы,"1: Тип привода:
У вас полный или задний привод?
2: Механические или автоматические:
Хабы нужны механические или автоматические?
3: Производитель:
Предпочитаете оригинальные хабы или реплику?"
Датчик уровня топлива (ДУТ),"1: Объём бака:
Какой объем топливного бака у вашего автомобиля?
2: Тип датчика:
Вам нужен механический датчик или электронный?
3: Совместимость:
Уточните год и модель вашего Спортажа для правильного выбора ДУТ."
Рама,"1: Год выпуска:
Каков год выпуска вашего автомобиля?
2: какая сборка?"
Тяги продольные,"1: Тип привода:
Автомобиль с полным приводом или нет?
2: Комплектация:
Вам нужны тяги в сборе с крепежными элементами или только сами тяги?"
Тяги поперечные,"1: Тип подвески:
Какая у вас подвеска: стандартная или модернизированная?
2: Необходимость регулировки:
Вам нужны тяги с возможностью регулировки?"
Панара,"Регулируемая или стандартная:
Нужна ли вам регулируемая штанга Панара или стандартная?"
Барабан тормозной,"1: Год выпуска:
Каков год выпуска вашего автомобиля?
- Если до 99 - значит у вас Дорест, должен быть барабан на 25см диаметром, но правда могли до вас поменять, так что в идеале бы проверить. Для этого надо посмотреть на соединение моста и тормозного кожуха, там 2 вида разболтовки, трапецией либо равносторонний квадрат 
- Если после 99 - значит у вас Рестайл, барабаны такие есть, надо только по состоянию посмотреть,  поискать для вас хороший? "
Блок управления печкой,"1: Год выпуска:
Каков год выпуска вашего автомобиля?
- Если до 99 - у вас скорее всего блок с тремя крутилками размером с обычную магнитолу, верно?
- Если после 99 - значит у вас скорее всего овальный блок с часиками 3мя крутилками"
Блок эсп,"1: Пожалуйста, пришлите фото вашего блока и фишки, которая внтури, там отверточкой поддеть и он выходит, просто  там и фишки разные и корпус и цвет, самое простое это фото вашего"
Вискомуфта,1: У Вас бензин или дизель?
Заднее крыло,"1: У вас гранд или коротыш?
Необходимо написать комментарий после ответа клиента на вопрос: Скорее всего нет, но на всякий случай гляну на машинах, может что путнее и найдется. Если хорошее все таки будет, то вырежем"
задний дворник мотор рестайл,1: Год выпуска: Каков год выпуска вашего автомобиля?
Блок предохранителей,1: Вам нужен с косой или без?
калитка,1: У вас ответная часть замка калитки под дверью багажника или по центру двери сразу под стеклом?
капот,1: У вас безин или дизель?
крыло переднее,"1: ""Вам надо под расширитель или цельное?
Отверстие под повторитель должно быть? "
насос гур,"1: Год Спортажа у вас какой?
 Если клиент не знает, задать вопрос: У вас Трубка высокого давления просто прикручивается гайкой или на штуцер одевается и гайкой прикручивается "
подрулевой переключатель белый,1: Корпус у вас белый или полностью черный??
пружины зад,"Они бывают разной высоты и разной толщины прутка, вы понимаете какие именно вам нужны пружины? Или вам просто средний вариант?"
рейлинги,"1: У вас коротыш или гранд ? 
2: Если коротыш, то рейлинги с поперечинами или без нужны?? "
стекло двери зад,"1: Их 2 вида, до 99г и после, у вас какой год??"
стекло двери перед,"1: Их 2 вида, до 99г и после, у вас какой год??"
стеклоподъемик водительский,"1: Их 2 вида, до 99г и после, у вас какой год??"
стеклоподъемик передний правый,"1: Их 2 вида, до 99г и после, у вас какой год??"
трос капота,1: Год выпуска: Каков год выпуска вашего автомобиля?
Трос открывания багажника,1: Вам в сборе или чисто сам тросик?
трубка гур,1: Год выпуска: Каков год выпуска вашего автомобиля?
фонарь задний дорестайл (красно желтый),"Если до 99 то - скорее всего у вас красно желтые, но лучше бы проверить"
Фонарь задний правый,1: Фонари у вас красно белые или красно желтые
фонарь задний рестайл (красно белый),"1: Если после 99 то - скорее всего у вас красно белые, но в идеале бы проверить, мало ли до вас кто то поменял"
хабы,"1: вам механические, автоматы или вакуумные?"
